site_name,rodne_pid,pcid,field_plant_assoc,field_pvt,PVTName,IMAPDescription,PVTGroupName,bps_value,bps_name,insol,insol_value,elevation_m,date_sampled,year_sampled
Ashland Watershed,A01,PMH01,PSME/HODI/WHMO-SWO,Douglas-fir - Dry,White fir - Intermediate,white fir intermediate,White fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,970818,1261,6/29/2011,2011
Ashland Watershed,A02,PMH02,PSME-ABCO/SYMO,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1307130.625,1290,6/29/2011,2011
Ashland Watershed,A03,PB05,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1377170.5,998,8/15/2011,2011
Ashland Watershed,A04,ASH8,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1321314.375,954,10/10/2012,2012
Ashland Watershed,A05,PRH04,PIPO-PSME,Ponderosa pine - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710531,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic,Warm,1433473.375,1248,6/16/2011,2011
Ashland Watershed,A06,PB03,PSME/DRY SHRUB,Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,1093263.25,840,7/26/2011,2011
Ashland Watershed,A07,ASH0,PSME/DRY SHRUB,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,916706.0625,923,10/9/2012,2012
Ashland Watershed,A08,ASH2,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1166229.25,989,10/4/2012,2012
Ashland Watershed,A09,PB04,ABCO-PSME/ROGY,White fir - Intermediate,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Cool,1007686.938,946,7/12/2011,2011
Ashland Watershed,A10,PML04,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,1061311.125,1033,7/26/2011,2011
Ashland Watershed,A11,ASH3,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1446991.5,1167,10/4/2012,2012
Ashland Watershed,A12,ASH4,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1284636.75,1032,10/4/2012,2012
Ashland Watershed,A13,PML01,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,1110672.25,990,6/20/2011,2011
Ashland Watershed,A14,PB02,PSME/HODI/WHMO-SWO,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,1105742.25,981,6/23/2011,2011
Ashland Watershed,A15,PRL01,PSME/HODI/WHMO-SWO,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,1069840.625,991,7/12/2011,2011
Ashland Watershed,A16,ASH1,PSME/HODI/WHMO-SWO,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,874518.625,1047,10/9/2012,2012
Ashland Watershed,A17,PRH02,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1405492.5,1103,7/13/2012,2012
Ashland Watershed,A18,ASH6,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1355113,1212,10/4/2012,2012
Ashland Watershed,A19,PRL04,PSME/HODI/WHMO-SWO,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,981117.9375,1019,8/15/2011,2011
Ashland Watershed,A20,ASH5,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1302599.125,1153,11/7/2012,2012
Ashland Watershed,A21,AMH01,ABCO/BENE2,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Warm,1423627.25,1456,6/21/2011,2011
Ashland Watershed,A22,PRH01,PSME-ABCO/SYMO,White fir - Intermediate,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1294520.875,1239,6/28/2011,2011
Ashland Watershed,A23,PMH03,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1406568,1161,8/2/2011,2011
Ashland Watershed,A24,PRL02,PSME-ABCO/SYMO,White fir - Intermediate,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,1015393.188,1107,7/18/2011,2011
Ashland Watershed,A25,PRH03,PSME-ABCO/SYMO,White fir - Intermediate,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1391317.375,1260,7/13/2011,2011
Ashland Watershed,A26,PB01,PSME/BENE2/POMU,Douglas-fir - Dry,White fir - Intermediate,white fir intermediate,White fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,693275.1875,1051,7/18/2011,2011
Ashland Watershed,A27,PRH05,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1434681.875,1118,8/2/2011,2011
Ashland Watershed,A28,PRL03,ABCO-PSME/ROGY,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Cool,1119313.5,1228,6/15/2011,2011
Ashland Watershed,A29,AB01,PSME-ABCO,White fir - Intermediate,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,1034562.438,1156,6/27/2011,2011
Ashland Watershed,A30,PML03,ABCO/SYMO,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Warm,1139494.75,1251,6/27/2011,2011
Ashland Watershed,A31,PML05,PSME-ABCO/SYMO,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,1092752.625,1310,7/25/2011,2011
Ashland Watershed,A32,ARL05,ABCO/BENE2,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Warm,1202755.875,1469,8/16/2011,2011
Ashland Watershed,A33,ARH04,PSME/ARNE-SWO,Douglas-fir - Dry,White fir - Intermediate,white fir intermediate,White fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1485469.625,1487,7/5/2011,2011
Ashland Watershed,A34,PMH04,PSME-ABCO/SYMO,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1263728.25,1181,8/4/2011,2011
Ashland Watershed,A35,AB03,PSME-ABCO,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,947592.3125,1211,7/21/2011,2011
Ashland Watershed,A36,AML03,ABCO/BENE2/LIBOL,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Warm,1127983.375,1355,7/20/2011,2011
Ashland Watershed,A37,AMH03,PSME-ABCO/SYMO,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1307245.125,1402,7/5/2011,2011
Ashland Watershed,A38,PRL05,PSME-ABCO,White fir - Intermediate,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1181808.5,1258,8/4/2011,2011
Ashland Watershed,A39,ARH03,ABCO/BENE2,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Warm,1439589.125,1407,7/20/2011,2011
Ashland Watershed,A40,AB02,PSME-ABCO,White fir - Intermediate,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1138345.625,1164,7/28/2011,2011
Ashland Watershed,A41,ARH02,PSME-PIPO/RHDI6,Douglas-fir - Dry,White fir - Intermediate,white fir intermediate,White fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1441066.75,1416,7/29/2011,2011
Ashland Watershed,A42,PML02,PSME-ABCO,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,1107916.75,1252,7/28/2011,2011
Ashland Watershed,A43,AML02,PSME-ABCO,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,1031520.125,1566,6/30/2011,2011
Ashland Watershed,A44,PMH05,PSME-ABCO/SYMO,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1266438.5,1236,8/11/2011,2011
Ashland Watershed,A45,ARH05,PSME-ABCO,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1347212.5,1693,7/27/2011,2011
Ashland Watershed,A46,AMH02,ABCO-LIDE3/CHUM,White fir - Cool,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Warm,1350579.375,1357,7/11/2011,2011
Ashland Watershed,A47,ARL02,ABCO/BENE2,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Cool,1104020.5,1467,7/7/2011,2011
Ashland Watershed,A48,AML01,ABCO/BENE2,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Warm,1161998.25,1515,7/14/2011,2011
Ashland Watershed,A49,AML05,ABCO/BENE2,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Cool,1105149,1411,8/11/2011,2011
Ashland Watershed,A50,AMH04,ABCO-ABMAS/CHUM-ANDE3,White fir - Cool,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Warm,1363289.25,1733,7/27/2011,2011
Ashland Watershed,A51,ARL03,ABCO/BENE2,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Cool,1074891.375,1353,7/29/2011,2011
Ashland Watershed,A52,AB04,ABCO/BENE2/LIBOL,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Cool,809125.1875,1390,8/17/2011,2011
Ashland Watershed,A53,ARL04,ABCO/BENE2,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Warm,1191939.875,1333,7/25/2011,2011
Ashland Watershed,A54,ARL01,ABCO-ABMAS/CHUM-ANDE3,White fir - Cool,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Warm,1250752.875,1599,7/21/2011,2011
Ashland Watershed,A55,AB05,ABCO/BENE2/LIBOL,White fir - Intermediate,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Cool,841350.25,1395,10/18/2011,2011
Ashland Watershed,A56,AMH05,ABCO-ABMAS/CHUM-ANDE3,White fir - Cool,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Warm,1300214.375,1559,10/11/2011,2011
Ashland Watershed,A57,AML04,ABCO-ABMAS/CHUM-ANDE3,White fir - Cool,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Warm,1269506,1726,7/27/2011,2011
Ashland Watershed,A58,ASH7,ABCO-ABMAS/CHUM-ANDE3,White fir - Cool,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Cool,980766.125,1551,10/10/2012,2012
Ashland Watershed,A59,ARH01,PSME/ARNE-SWO,Douglas-fir - Dry,Shasta red fir - Moist,Shasta red fir moist,Shasta red fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1398881.875,1785,7/7/2011,2011
Ashland Watershed,AA,MPM,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1380267.375,1139,2011,2011
Ashland Watershed,AB,MPR,PSME-ABCO/SYMO,White fir - Intermediate,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1273804.375,1209,2011,2011
Ashland Watershed,AC,MAR,PSME-PIPO/RHDI6,Douglas-fir - Dry,White fir - Intermediate,white fir intermediate,White fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1344412.5,1418,2011,2011
Ashland Watershed,AD,MAM,ABCO-ABMAS/CHUM-ANDE3,White fir - Cool,White fir - Intermediate,white fir intermediate,White fir,710280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Warm,1315128.5,1554,2011,2011
Big Butte Creek,B01,BB01,PSME/HODI/WHMO-SWO,Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1170325.875,671,9/17/2012,2012
Big Butte Creek,B02,BB02,PSME/DRY SHRUB,Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,1086339.875,656,9/17/2012,2012
