SiteName,SiteAb,Rodne_PID,PCID,Insol,SolarIns,elevation_m,PVT,TPI,AET_1900_09,AET_2000_09,AET_2000_09SD,CWD_1900_09,CWD_2000_09,CWD_2000_09SD,POINT_X,POINT_Y,WatBal_AET_Current_V1_2019,WB_AET_Current_V2_2022,WatBal_AET_Futr_V1_2019,WB_AET_Future_V2_2022,WatBal_PET_Current_V1_2019,WB_PET_Current_V2_2022,WatBal_PET_Futr_V1_2019,WB_PET_Future_V2_2022,WatBal_Deficit_Current_V1_OR_2019,WB_Deficit_Current_V2_2022_2023,WatBal_Deficit_Futr_V1_OR_2019,WB_Deficit_Future_V2_2022
Ashland Abies Midslope,AW,AD,MAM,Warm,1315128.5,1554,White fir - Intermediate,Ridge Top,485.5,427.5,70.63745117,368.6000061,509,66.73381042,-122.7505592,42.11081936,354.1424255,542.7418213,412.1849365,559.3052368,662.4249268,683.3128052,786.8481445,766.3375244,308.2825012,140.5710144,374.6632385,207.0323181
Ashland Abies Ridge,AW,AC,MAR,Warm,1344412.5,1418,White fir - Intermediate,Ridge Top,447.6000061,413,68.49087524,545.9000244,641,68.21472931,-122.7092366,42.12316968,355.5543823,584.4135742,412.3575745,591.1627808,735.4562378,811.6013794,865.7321777,897.5326538,379.901825,227.1877747,453.3745728,306.369873
Ashland Pseudotsuga Midslope,AW,AA,MPM,Warm,1380267.375,1139,White fir - Intermediate,Mid Slope,481.7999878,442.5,59.21528625,575.7999878,686,66.96393585,-122.7248069,42.14296429,392.4826965,524.0310059,423.1363525,523.4421387,776.5834961,660.3776245,882.2670288,719.6220703,384.100769,136.3465881,459.1306458,196.1799316
Ashland Pseudotsuga Ridge,AW,AB,MPR,Warm,1273804.375,1209,White fir - Intermediate,Ridge Top,475.5,438,58.69752884,572.2600098,684,67.50937653,-122.6943465,42.14451306,377.5989685,589.2168579,395.2344971,581.8973999,743.881897,833.87677,832.8731079,903.9869385,366.282959,244.6599274,437.6385803,322.0895386
Ashland Watershed,AW,A23,PMH03,Warm,1406568,1161,Douglas-fir - Dry,Mid Slope,481.7999878,442.5,59.21528625,575.7999878,686,66.96393585,-122.7252757,42.14334445,392.4826965,522.0272217,423.1363525,522.4885864,776.5834961,655.001709,882.2670288,715.1531982,384.100769,132.9744568,459.1306458,192.6645813
Ashland Watershed,AW,A27,PRH05,Warm,1434681.875,1118,Douglas-fir - Dry,Ridge Top,493.2000122,451.6000061,60.38907242,556.3099976,671,64.1759491,-122.7265597,42.13983727,390.3581543,539.887146,420.082428,542.1643066,779.9655762,704.9419556,885.6077881,773.0579834,389.6074219,165.0548248,465.5253296,230.8936768
Ashland Watershed,AW,A13,PML01,Cool,1110672.25,990,Douglas-fir - Dry,Bottom Slope,471.8999939,429,55.8927536,571.7800293,679,68.60948944,-122.6974526,42.1555222,387.7479248,559.8062134,397.1736755,555.12323,761.1737061,776.2783203,839.3950806,842.5550537,373.4257813,216.4720917,442.2214355,287.4317932
Ashland Watershed,AW,A33,ARH04,Warm,1485469.625,1487,Douglas-fir - Dry,Ridge Top,466.7999878,426.6000061,67.1553421,556.3499756,655,67.37570953,-122.7128759,42.12933459,354.9820251,578.4294434,415.6184387,584.7039795,744.0609741,799.8518066,879.9992065,885.2977905,389.078949,221.422348,464.3807373,300.593811
Ashland Watershed,AW,A01,PMH01,Cool,970818,1261,Douglas-fir - Dry,Mid Slope,473,436,61.41009521,526.0200195,631,66.34130096,-122.7418907,42.17882901,404.0397339,571.3157349,412.4820251,565.4016724,692.0029297,788.1738281,758.067688,859.2836914,287.9631958,216.8581238,345.5856628,293.882019
Ashland Watershed,AW,A59,ARH01,Warm,1398881.875,1785,Douglas-fir - Dry,Ridge Top,406.8999939,375.2999878,61.05907059,435.2200012,573,65.73587036,-122.6807368,42.1030879,327.6350098,564.6891479,369.3918152,578.9018555,702.7364502,756.3776855,806.1815186,846.4749756,375.1014404,191.6885223,436.7897339,267.5731812
Ashland Watershed,AW,A15,PRL01,Cool,1069840.625,991,Douglas-fir - Dry,Ridge Top,484.5,446.3999939,57.89334869,593.9700317,699,67.51459503,-122.7219833,42.15412652,384.8408508,563.9938354,387.0390015,557.840332,681.6505127,799.8323364,740.470459,868.9489746,296.8096619,235.8385315,353.431488,311.1086426
Ashland Watershed,AW,A17,PRH02,Warm,1405492.5,1103,Douglas-fir - Dry,Ridge Top,470.7999878,420.7000122,63.65068817,568,678,69.08375549,-122.7298584,42.1518904,385.5558472,544.1416626,411.401001,543.5719604,777.460144,700.2607422,878.3272705,763.2440796,391.9042969,156.1191406,466.9262695,219.6721039
Ashland Watershed,AW,A19,PRL04,Cool,981117.9375,1019,Douglas-fir - Dry,Ridge Top,499,455,59.33127213,560.0499878,679,67.66821289,-122.7132845,42.14932369,380.9776917,564.008606,378.7857666,558.8126221,663.635498,791.8551636,714.8355713,859.9420166,282.6577759,227.8465729,336.0498352,301.129425
Ashland Watershed,AW,A03,PB05,Warm,1377170.5,998,Douglas-fir - Dry,Bottom Slope,484.7000122,448.2999878,58.96787262,609.75,704,68.74880981,-122.7251682,42.16986072,398.4216919,516.8602905,404.5422668,510.5579834,794.7479248,644.9891357,873.4991455,695.1132202,396.3262634,128.12883,468.9569092,184.5552521
Ashland Watershed,AW,A14,PB02,Cool,1105742.25,981,Douglas-fir - Dry,Bottom Slope,484.5,446.3999939,57.89334869,593.9700317,699,67.51459503,-122.7265493,42.15548005,385.8665161,532.1619263,405.5856934,525.9365845,760.3766479,677.3632202,850.5443115,731.9031982,374.5101013,145.2012939,444.9585876,205.9665833
Ashland Watershed,AW,A06,PB03,Cool,1093263.25,840,Douglas-fir - Dry,Bottom Slope,464.6000061,434.8999939,53.99157333,652.5599976,725,62.97509384,-122.7067108,42.16693584,385.2909546,543.4127808,390.6455994,537.2238159,728.6116943,757.5082397,799.0787354,819.880127,343.3207397,214.0954285,408.433136,282.6562805
