"rodne_pid","total_trees","size_hectare","plot_di","tph","tpa","basal_area_acre","basal_area_hectare","sdi_hectare","sdi_acre"
"A01",122,"0.1",74,1220,494,147,363,738,299
"A02",91,"0.1",79,910,368,177,436,787,319
"A03",81,"0.1",64,810,328,149,369,642,260
"A04",35,"0.1",54,350,142,143,353,537,217
"A05",38,"0.1",70,380,154,206,508,703,285
"A06",32,"0.1",65,320,129,191,472,651,263
"A07",63,"0.1",66,630,255,168,416,660,267
"A08",49,"0.1",68,490,198,173,429,678,274
"A09",25,"0.1",53,250,101,152,377,535,216
"A10",44,"0.1",87,440,178,238,588,874,354
"A11",19,"0.1",47,190,77,137,338,472,191
"A12",57,"0.1",80,570,231,211,522,804,325
"A13",74,"0.1",110,740,299,305,754,1099,445
"A14",29,"0.1",49,290,117,152,376,492,199
"A15",53,"0.1",47,530,214,111,273,475,192
"A16",26,"0.1",64,260,105,200,495,635,257
"A17",108,"0.1",89,1080,437,205,506,892,361
"A18",21,"0.1",26,210,85,63,155,256,104
"A19",26,"0.1",48,260,105,127,315,476,193
"A20",62,"0.1",94,620,251,245,605,939,380
"A21",87,"0.1",106,870,352,263,651,1058,428
"A22",68,"0.1",77,680,275,196,484,774,313
"A23",83,"0.1",92,830,336,259,640,916,371
"A24",50,"0.1",61,500,202,156,385,609,246
"A25",34,"0.1",58,340,138,178,441,584,236
"A26",22,"0.1",40,220,89,112,276,397,161
"A27",52,"0.1",79,520,210,219,540,786,318
"A28",86,"0.1",87,860,348,217,536,872,353
"A29",20,"0.1",55,200,81,177,436,555,225
"A30",61,"0.1",54,610,247,122,303,536,217
"A31",24,"0.1",99,240,97,334,825,988,400
"A32",50,"0.1",91,500,202,274,678,911,369
"A33",33,"0.1",47,330,134,125,310,475,192
"A34",42,"0.1",94,420,170,276,683,940,380
"A35",17,"0.1",25,170,69,66,164,251,102
"A36",19,"0.1",62,190,77,194,481,622,252
"A37",15,"0.1",38,150,61,122,301,381,154
"A38",146,"0.1",108,1460,591,229,566,1083,438
"A39",31,"0.1",44,310,125,112,276,441,178
"A40",26,"0.1",59,260,105,185,458,589,238
"A41",36,"0.1",62,360,146,167,412,618,250
"A42",86,"0.1",76,860,348,174,431,755,306
"A43",29,"0.1",78,290,117,231,572,781,316
"A44",56,"0.1",80,560,227,234,579,805,326
"A45",46,"0.1",82,460,186,232,572,822,333
"A46",35,"0.1",73,350,142,236,583,725,293
"A47",23,"0.1",80,230,93,256,634,802,325
"A48",30,"0.1",80,300,121,255,629,797,322
"A49",47,"0.1",79,470,190,237,587,792,321
"A50",7,"0.1",21,70,28,63,156,212,86
"A51",53,"0.1",63,530,214,168,415,629,255
"A52",28,"0.1",44,280,113,131,324,444,180
"A53",37,"0.1",84,370,150,280,691,835,338
"A54",48,"0.1",86,480,194,236,582,859,348
"A55",49,"0.1",42,490,198,101,249,419,170
"A56",40,"0.1",93,400,162,332,822,930,376
"A57",22,"0.1",42,220,89,126,310,421,170
"A58",46,"0.1",72,460,186,195,481,721,292
"A59",16,"0.1",33,160,65,98,241,328,133
"AA",1501,"3",1978,500,202,179,442,659,267
"AB",1301,"3",2103,434,175,190,471,701,284
"AC",651,"3",1728,217,88,178,440,576,233
"AD",607,"3",1790,202,82,191,473,597,241
"B01",50,"0.1",63,500,202,160,395,628,254
"B02",60,"0.1",75,600,243,196,483,747,302
"B03",81,"0.1",83,810,328,207,512,830,336
"B04",39,"0.1",111,390,158,353,873,1107,448
"B05",28,"0.1",53,280,113,159,392,526,213
"B06",97,"0.1",80,970,393,183,452,803,325
"B07",62,"0.1",100,620,251,299,739,1003,406
"B08",36,"0.1",67,360,146,216,533,672,272
"B09",59,"0.1",71,590,239,179,442,709,287
"B10",36,"0.1",74,360,146,212,523,738,299
"BA",879,"3",1616,293,119,149,367,539,218
"C01",27,"0.1",26,270,109,57,142,256,104
"C02",42,"0.1",78,420,170,232,574,779,315
"C03",20,"0.1",47,200,81,138,342,469,190
"C04",37,"0.1",54,370,150,151,372,540,218
"C05",55,"0.1",86,550,223,230,569,859,348
"C06",39,"0.1",90,390,158,265,654,898,364
"C07",49,"0.1",54,490,198,131,324,541,219
"C08",41,"0.1",49,410,166,124,307,490,198
"C09",26,"0.1",113,260,105,416,1028,1134,459
"C10",50,"0.1",66,500,202,174,429,661,268
"C11",54,"0.1",73,540,219,191,473,732,296
"CA",575,"3",2209,192,78,246,609,736,298
"E01",39,"0.1",37,390,158,95,234,374,151
"E02",36,"0.1",116,360,146,376,930,1162,470
"E03",32,"0.1",119,320,129,404,999,1195,484
"E04",39,"0.1",126,390,158,449,1108,1256,508
"E05",48,"0.1",115,480,194,391,967,1152,466
"E06",67,"0.1",89,670,271,237,584,889,360
"E07",113,"0.1",126,1130,457,351,867,1265,512
"E08",135,"0.1",110,1350,546,279,690,1103,446
"E09",46,"0.1",103,460,186,344,850,1027,416
"E10",43,"0.1",69,430,174,196,484,692,280
"G01",39,"0.1",84,390,158,274,676,836,338
"G02",14,"0.1",78,140,57,297,734,782,317
"G03",39,"0.1",83,390,158,285,704,831,336
"G04",39,"0.1",120,390,158,397,980,1205,488
"G05",17,"0.1",114,170,69,466,1151,1145,463
"G06",17,"0.1",122,170,69,484,1196,1218,493
"G07",27,"0.1",78,270,109,285,703,776,314
"G08",39,"0.1",99,390,158,338,834,993,402
"G09",21,"0.1",59,210,85,212,524,588,238
"G10",24,"0.1",87,240,97,307,758,871,352
