"rodne_nid","rodne_pid","trid","rodne_uid","site_name","uid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snag_spcd_group","snag_slope","snag_dbh","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","end_year","multi_add","ci_age_lower","predicted_age","ci_age_upper","pred_pith","diam_cm_1911","diam_cm_1850","live_in_1911","age_in_1911","live_in_1850","age_in_1850","ci_diam_lower","predicted_diam","ci_diam_upper"
1,"A01",2,"A010013_new","Ashland","AW14_002_05_new","4_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",36.3230488515146,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1943,"No",64,70,95,1873,NA,NA,"Yes",38,"No",0,9.9051386464999,10.6169494695103,16.2434544026375
2,"A01",6,"A010031_new","Ashland","AW14_006_04_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",37.6764449248657,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,5.23622047244095,0.355163787710378,0.14954201834878,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,"No",64,70,95,1892,NA,NA,"Yes",19,"No",0,4.81511912893246,8.58637199315348,18.4408454730933
3,"A01",8,"A010034_new","Ashland","AW14_008_02_new","1_new",1,75,"Hardwood","A","density",0.1,NA,"NO","ARME",19.7482013087411,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.48031496062992,0.628451569140058,0.305187792548531,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,NA,35.9,48,75,1914,NA,NA,"No",0,"No",0,0,0,0
4,"A01",8,"A010035_new","Ashland","AW14_008_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",19.7482013087411,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,6.96850393700787,0.561078050822202,0.264853970990386,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,NA,35.9,48,75,1914,NA,NA,"No",0,"No",0,0,0,0
5,"A01",8,"A010036_new","Ashland","AW14_008_04_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",19.7482013087411,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.91338582677165,0.687669472520084,0.341548255034715,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,NA,35.9,48,75,1914,NA,NA,"No",0,"No",0,0,0,0
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",32.7521151429182,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,"No",36,73,95,1889,NA,NA,"Yes",22,"No",0,4.81511912893246,8.64985785824526,18.4408454730933
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",32.7521151429182,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,"No",36,73,95,1889,NA,NA,"Yes",22,"No",0,0.438561197392774,5.82573651353948,8.67627797869221
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",32.7521151429182,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,"No",36,73,95,1889,NA,NA,"Yes",22,"No",0,8.729353,19.7376352585681,32
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",32.7521151429182,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,"No",36,73,95,1889,NA,NA,"Yes",22,"No",0,12.1156591639871,14.3558187842678,21.4586833795809
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",32.7521151429182,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,"No",36,49,87,1913,NA,NA,"No",0,"No",0,0,0,0
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",32.7521151429182,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,"No",36,49,87,1913,NA,NA,"No",0,"No",0,0,0,0
