"rodne_nid","rodne_uid","rodne_pid","site_name","uid","trid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snag_spcd_group","snag_slope","snag_dbh","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","end_year","ci_age_lower","predicted_age","ci_age_upper","pred_pith"
1,"A010001","A01","Ashland","AW14_001_02",1,1,1,100,"Hardwood","A","density",0.1,"A0101","YES","ARME",25.4,3,"LIVE",1,NA,NA,NA,NA,50,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,10,1,0.545415391248228,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,68,75,1943
2,"A010002","A01","Ashland","AW14_004_02",4,1,1,45,"Hardwood","A","density",0.1,"A0102","YES","ARME",23.8,2,"LIVE",1,NA,NA,NA,NA,30,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,9.37007874015748,0.901133602993216,0.478865853770609,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,68,75,1943
3,"A010003","A01","Ashland","AW14_010_01",10,1,0,NA,"Hardwood","A","density",0.1,"A0103","YES","ARME",12.2,3,"LIVE",1,NA,NA,NA,NA,54,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,4.80314960629921,0.309344060954229,0.125828673249095,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,76,1962
4,"A010004","A01","Ashland","AW14_034_01",34,1,0,NA,"Conifer","A","density",0.1,"A0104","YES","PSME",10.7,4,"LIVE",1,NA,NA,NA,NA,28,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,4,571,788,217,1261,4.21259842519685,0.250772608651591,0.0967893362018873,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,76,1962
5,"A010005","A01","Ashland","AW14_038_09",38,8,1,NA,"Hardwood","A","density",0.1,"A0105","YES","ARME",23.5,4,"LIVE",1,NA,NA,NA,NA,40,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,9.25196850393701,0.883028321601197,0.466869690955474,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,68,75,1943
6,"A010006","A01","Ashland","AW14_001_03",1,2,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",16.3,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,6.41732283464567,0.491774743404415,0.224613142942436,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,48,75,1963
7,"A010007","A01","Ashland","AW14_001_04",1,3,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",24,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,9.44881889763779,0.9132801956714,0.486947835202088,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,68,75,1943
8,"A010008","A01","Ashland","AW14_001_05",1,4,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",19.1,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.51968503937008,0.633752143169747,0.308408749583462,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,48,75,1963
9,"A010009","A01","Ashland","AW14_001_06",1,5,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",10.5,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,4.13385826771654,0.243315027210971,0.0932048590816497,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,76,1962
10,"A010010","A01","Ashland","AW14_002_02",2,1,1,140,"Hardwood","A","density",0.1,NA,"NO","ARME",27.8,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,10.9448818897638,1.15541426963668,0.653355494718024,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,68,75,1943
11,"A010011","A01","Ashland","AW14_002_03",2,2,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",15.2,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,5.98425196850394,0.439760071045044,0.19532018723106,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,48,75,1963
12,"A010012","A01","Ashland","AW14_002_04",2,3,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",18,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.08661417322835,0.576370920806797,0.273908157301175,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,75,1962
