"rodne_uid","rodne_pid","site_name","uid","trid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y"
"A010063","A01","Ashland","AW14_018_02",18,1,1,70,"Hardwood","A","density","0.1",NA,"NO","ARME",22.8,"2","LIVE","1",NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,8.97637795275591,0.841321153511681,0.439470421269885,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426
"A010125","A01","Ashland","AW14_043_04",43,3,1,NA,"Hardwood","A","density","0.1",NA,"NO","ARME",13.9,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,5.47244094488189,0.38114456725137,0.163338873679506,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426
"A010064","A01","Ashland","AW14_018_03",18,2,1,NA,"Hardwood","A","density","0.1",NA,"NO","ARME",10.8,"2","LIVE","1",NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,4.25196850393701,0.254532980033102,0.0986069366284229,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426
"A010103","A01","Ashland","AW14_038_03",38,2,1,NA,"Hardwood","A","density","0.1",NA,"NO","ARME",22.3,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,8.77952755905512,0.811995896103087,0.420406751679942,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426
"A010051","A01","Ashland","AW14_014_02",14,1,1,110,"Hardwood","A","density","0.1",NA,"NO","ARME",18.5,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426
"A010119","A01","Ashland","AW14_042_02",42,1,1,100,"Hardwood","A","density","0.1",NA,"NO","ARME",27,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,10.6299212598425,1.10267639076786,0.616293353927643,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426
"A010006","A01","Ashland","AW14_001_03",1,2,1,NA,"Hardwood","A","density","0.1",NA,"NO","ARME",16.3,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,6.41732283464567,0.491774743404415,0.224613142942436,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426
"A010062","A01","Ashland","AW14_017_04",17,3,1,NA,"Hardwood","A","density","0.1",NA,"NO","ARME",10.7,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,4.21259842519685,0.250772608651591,0.0967893362018873,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426
"A010007","A01","Ashland","AW14_001_04",1,3,1,NA,"Hardwood","A","density","0.1",NA,"NO","ARME",24,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,9.44881889763779,0.9132801956714,0.486947835202088,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426
"A010050","A01","Ashland","AW14_013_05",13,4,1,NA,"Hardwood","A","density","0.1",NA,"NO","ARME",21.6,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,8.50393700787402,0.771599709118868,0.394427746513692,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426
