"spcd","Increase","Neutral","Decrease","Total"
"ABCO","71% (40)","21% (12)","7% (4)",56
"ABMAS","0% (0)","100% (1)","0% (0)",1
"ACMA","86% (6)","14% (1)","0% (0)",7
"ARME","94% (99)","6% (6)","0% (0)",105
"CADE","74% (31)","26% (11)","0% (0)",42
"CHCH","59% (16)","37% (10)","4% (1)",27
"CHLA","100% (1)","0% (0)","0% (0)",1
"LIDE","81% (26)","16% (5)","3% (1)",32
"PIJE","100% (1)","0% (0)","0% (0)",1
"PILA","91% (48)","4% (2)","6% (3)",53
"PIPO","65% (53)","10% (8)","25% (20)",81
"PSME","92% (144)","1% (2)","7% (11)",157
"QUCH","64% (23)","36% (13)","0% (0)",36
"QUGA","71% (5)","29% (2)","0% (0)",7
"QUKE","70% (52)","24% (18)","5% (4)",74
"TABR","50% (4)","50% (4)","0% (0)",8
"UMCA","50% (2)","50% (2)","0% (0)",4
