"snag_spcd_group","snag_slope","snag_dbh","rodne_uid","rodne_pid","site_name","uid","trid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen"
"Alder","Other","Medium","G080058","G08","Grayback Creek","GB08_035_04",35,4,1,NA,"Hardwood","G","density","0.1",NA,"NO","ACMA",40.731627,"0","DOWN DEAD",8,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365764.25,"Mid Slope",NA,2014,6,562,766,204,740,16.0360736220472,2.12890786442335,1.40256653389825,158,402,338,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.4507647,42.14583106,0.0497322111706197,0.0875555555555556,-103.21069954703,-51.6053497735151,-21.4181553194097,-67.0728267812663,-33.5364133906332,-13.9188691484299,1962,1980,1962,1980
"Alder","Other","Medium","G080057","G08","Grayback Creek","GB08_035_03",35,3,1,NA,"Hardwood","G","density","0.1",NA,"NO","ACMA",37,"0","BROKEN BUTT SNAG",7,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365764.25,"Mid Slope",NA,2014,6,562,766,204,740,14.5669291338583,1.82552931717764,1.15734650415219,158,402,338,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.4507647,42.14583106,0.0497322111706197,0.0875555555555556,-74.647978679063,-37.3239893395315,-15.4908551985894,-50.5560635018871,-25.2780317509435,-10.4913310846028,1977,1989,1977,1989
"Alder","Other","Small","A440052","A44","Ashland","AW24_046_05",46,4,1,NA,"Hardwood","A","density","0.1",NA,"NO","ACMA",7.5,"0","BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1266438.5,"Bottom Slope",NA,2011,6,586,804,218,1236,2.95275590551181,0.14202476352394,0.0475534995314539,227,326,234,"White fir - Intermediate,Warm,Bottom Slope",-122.71355818,42.12156888,0.0497322111706197,0.154055555555556,-46.0852578110958,-23.0426289055479,-9.56355507776901,-27.1978023273882,-13.5989011636941,-5.64405393191975,1988,1997,1988,1997
"Alder","Other","Small","A440051","A44","Ashland","AW24_046_04",46,3,1,NA,"Hardwood","A","density","0.1",NA,"NO","ACMA",7.5,"0","BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1266438.5,"Bottom Slope",NA,2011,6,586,804,218,1236,2.95275590551181,0.14202476352394,0.0475534995314539,227,326,234,"White fir - Intermediate,Warm,Bottom Slope",-122.71355818,42.12156888,0.0497322111706197,0.154055555555556,-46.0852578110958,-23.0426289055479,-9.56355507776901,-27.1978023273882,-13.5989011636941,-5.64405393191975,1988,1997,1988,1997
"Alder","Other","Small","A260012","A26","Ashland","AW10_012_01",12,1,0,NA,"Hardwood","A","density","0.1",NA,"NO","ACMA",10.5,"0","CLEAN SNAG",5,NA,NA,NA,NA,NA,NA,"PSME/BENE2/POMU","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",693275.1875,"Bottom Slope",NA,2011,6,547,694,148,1051,4.13385826771654,0.243315027210971,0.0932048590816497,89,161,112,"Douglas-fir - Dry,Cool,Bottom Slope",-122.71313694,42.14116494,0.0497322111706197,0.154055555555556,-17.5225369431286,-8.76126847156432,-3.63625495694863,-17.5225369431286,-8.76126847156432,-3.63625495694863,2002,2002,2002,2002
"Alder","Other","Small","T040071","T04","Taylor Ridge","TY04_035_03",35,3,1,NA,"Hardwood","T","density","0.1",NA,"NO","ACMA",10.4,"0","OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",728634.25,"Mid Slope",NA,2014,6,487,658,172,324,4.09448818897638,0.239617976457642,0.0914379823879477,73,190,148,"Tan oak - Douglas-fir - Dry,Cool,Mid Slope",-123.59941112,42.55766391,0.0497322111706197,0.154055555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010
"Alder","Other","Small","A440050","A44","Ashland","AW24_046_03",46,2,1,NA,"Hardwood","A","density","0.1",NA,"NO","ACMA",12.3,"0","BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1266438.5,"Bottom Slope",NA,2011,6,586,804,218,1236,4.84251968503937,0.313410997532595,0.127899892339799,227,326,234,"White fir - Intermediate,Warm,Bottom Slope",-122.71355818,42.12156888,0.0497322111706197,0.154055555555556,-46.0852578110958,-23.0426289055479,-9.56355507776901,-27.1978023273882,-13.5989011636941,-5.64405393191975,1988,1997,1988,1997
"Douglas-fir (east OR)","Other","Large","A0A0474","AA","Ashland","MPM14250",1425,1,0,NA,"Conifer","A","stem","3",NA,"NO","PSME",99,"0","BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1380267.375,"Mid Slope",NA,2011,4,524,660,136,1139,38.9763779527559,8.81621889840467,8.28572175836053,202,267,179,"Douglas-fir - Dry,Warm,Mid Slope",-122.723912,42.14267487,0.031562153163152,0.0202222222222222,-62.1347745783129,-31.0673872891564,-12.8941307296188,-86.7663891415017,-43.3831945707508,-18.0056525853719,1980,1968,1980,1968
"Douglas-fir (east OR)","Other","Large","A0A1634","AA","Ashland","MPM730",73,1,0,NA,"Conifer","A","stem","3",NA,"NO","PSME",80,"0","BROKEN BUTT SNAG",7,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1380267.375,"Mid Slope",NA,2011,4,524,660,136,1139,31.496062992126,6.2691697965796,5.41053150224543,202,267,179,"Douglas-fir - Dry,Warm,Mid Slope",-122.7249149,42.14312669,0.031562153163152,0.0202222222222222,-106.747012213497,-53.3735061067486,-22.152006502289,-156.010241339875,-78.0051206699374,-32.3750502137953,1958,1933,1958,1933
"Douglas-fir (east OR)","Other","Large","A360036","A36","Ashland","AW33_035_01",35,1,0,NA,"Conifer","A","density","0.1",NA,"NO","PSME",84.7,"0","RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"ABCO/BENE2/LIBOL","White fir - Intermediate","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Warm",1127983.375,"Mid Slope",NA,2011,4,569,756,187,1355,33.3464566929134,6.86877847132884,6.06494374139748,77,252,194,"White fir - Intermediate,Warm,Mid Slope",-122.74685615,42.12730205,0.031562153163152,0.0202222222222222,NA,NA,NA,NA,NA,NA,NA,NA,2011,2011
