"rodne_uid","snag_spcd_group","snag_slope","snag_dbh","rodne_pid","site_name","uid","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","metlen_age","harvest_date","pvt","insol","tpi","year_sampled","true_age","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","rodne_age_low_pi","rodne_age_mode","rodne_age_stdev","rodne_age_upp_pi","model_pith","model_age","radius_cm"
"A010018","Pacific madrone","Other","Small","A01","Ashland","AW14_003_03","A","density","0.1",NA,"NO","ARME",10.2,"0","RECENT DEAD","3",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"6",571,788,217,1261,4.01574803149606,0.232287761185964,0.0879549527333772,494,299,147,"White fir - Intermediate,Warm,Mid Slope",0.0497322111706197,0.0850555555555556,NA,NA,NA,NA,NA,NA,NA,NA,2011,2011,27.4108461666537,22.7681192090644,42.7079266479042,116.549141445575,1988,23,5.1
"A010033","Ponderosa pine (OR)","Other","Medium","A01","Ashland","AW14_007_01","A","density","0.1",NA,"NO","PIPO",46.2,"0","CUT STUMP","2",NA,NA,NA,NA,1990,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"1",571,788,217,1261,18.1889763779528,2.60431321273442,1.80444607182074,494,299,147,"White fir - Intermediate,Warm,Mid Slope",0.0330771475824497,0.074,NA,NA,NA,NA,NA,NA,NA,NA,1990,1990,63.3837022357944,52.6193249150243,157.34562068332,267.347178598231,1937,53,23.1
"A010056","Douglas-fir (east OR)","Other","Medium","A01","Ashland","AW14_015_01","A","density","0.1",NA,"NO","PSME",45,"0","DOWN DEAD","8",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"4",571,788,217,1261,17.7165354330709,2.49692832188634,1.71192598313234,494,299,147,"White fir - Intermediate,Warm,Mid Slope",0.031562153163152,0.0351666666666667,-151.359249848681,-75.6796249243407,-31.4098822749592,-137.852078492659,-68.9260392463297,-28.6068909639921,1935,1942,1935,1942,51.5139438462782,41.6153098685206,94.6598401800557,212.585659661402,1900,42,22.5
"A010089","Douglas-fir (east OR)","Other","Medium","A01","Ashland","AW14_031_01","A","density","0.1",NA,"NO","PSME",30,"0","DOWN DEAD","8",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"4",571,788,217,1261,11.8110236220472,1.30514889783034,0.760855992503263,494,299,147,"White fir - Intermediate,Warm,Mid Slope",0.031562153163152,0.0351666666666667,-151.359249848681,-75.6796249243407,-31.4098822749592,-137.852078492659,-68.9260392463297,-28.6068909639921,1935,1942,1935,1942,43.1832872753715,35.3876265564383,68.8406137485706,180.266366058275,1907,35,15
"A010090","Douglas-fir (east OR)","Other","Medium","A01","Ashland","AW14_032_01","A","density","0.1",NA,"NO","PSME",54,"0","DOWN DEAD","8",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"4",571,788,217,1261,21.259842519685,3.34268974597346,2.46517341571057,494,299,147,"White fir - Intermediate,Warm,Mid Slope",0.031562153163152,0.0351666666666667,-151.359249848681,-75.6796249243407,-31.4098822749592,-137.852078492659,-68.9260392463297,-28.6068909639921,1935,1942,1935,1942,55.2596606176108,45.3510580783166,127.187120183763,231.35602273448,1897,45,27
"A010091","Douglas-fir (east OR)","Other","Small","A01","Ashland","AW14_033_01","A","density","0.1",NA,"NO","PSME",24,"0","DOWN DEAD","8",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"4",571,788,217,1261,9.44881889763779,0.9132801956714,0.486947835202088,494,299,147,"White fir - Intermediate,Warm,Mid Slope",0.031562153163152,0.0841111111111111,-151.359249848681,-75.6796249243407,-31.4098822749592,-69.0191014189292,-34.5095507094646,-14.3227576276926,1935,1976,1935,1976,39.2815027775795,32.218504067914,64.9453034700049,164.342173963447,1944,32,12
"A010101","Douglas-fir (east OR)","Other","Medium","A01","Ashland","AW14_037_01","A","density","0.1",NA,"NO","PSME",40,"0","DOWN DEAD","8",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"4",571,788,217,1261,15.748031496063,2.06805478514132,1.35263287556136,494,299,147,"White fir - Intermediate,Warm,Mid Slope",0.031562153163152,0.0351666666666667,-151.359249848681,-75.6796249243407,-31.4098822749592,-137.852078492659,-68.9260392463297,-28.6068909639921,1935,1942,1935,1942,48.5063468794607,39.9293440178608,122.155053052459,203.026299563269,1902,40,20
"A010130","Douglas-fir (east OR)","Other","Medium","A01","Ashland","AW14_044_01","A","density","0.1",NA,"NO","PSME",71.6,"0","CUT STUMP","2",NA,NA,NA,NA,1950,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"4",571,788,217,1261,28.1889763779528,5.24960817196773,4.33397099658614,494,299,147,"White fir - Intermediate,Warm,Mid Slope",0.031562153163152,0.0351666666666667,NA,NA,NA,NA,NA,NA,NA,NA,1950,1950,62.73824155371,50.8220146729508,143.392604826887,258.247081963067,1899,51,35.8
"A020024","Pacific madrone","Other","Small","A02","Ashland","AW15_010_04","A","density","0.1",NA,"NO","ARME",10.1,"0","RECENT DEAD","3",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"6",565,761,197,1290,3.97637795275591,0.228654762507714,0.0862387997725087,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.0497322111706197,0.0850555555555556,NA,NA,NA,NA,NA,NA,NA,NA,2011,2011,19.4600086152084,9.74709342585587,34.2357638813434,57.3143990363337,2001,10,5.05
"A020028","Pacific madrone","Other","Small","A02","Ashland","AW15_011_05","A","density","0.1",NA,"NO","ARME",15.1,"0","OLDER DEAD","4",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"6",565,761,197,1290,5.94488188976378,0.435140161987988,0.192758638722966,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007,22.8958697047266,11.4758937979492,48.1487939773609,67.5755192402245,1996,11,7.55
"A020029","Pacific madrone","Other","Small","A02","Ashland","AW15_011_06","A","density","0.1",NA,"NO","ARME",13,"0","OLDER DEAD","4",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"6",565,761,197,1290,5.11811023622047,0.342432847395884,0.142871847481168,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007,21.3788990726778,10.8381852231901,19.5797466022129,63.8822338867618,1996,11,6.5
"A020030","Pacific madrone","Other","Small","A02","Ashland","AW15_011_07","A","density","0.1",NA,"NO","ARME",13,"0","CLEAN SNAG","5",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"6",565,761,197,1290,5.11811023622047,0.342432847395884,0.142871847481168,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.0497322111706197,0.0850555555555556,-17.5225369431286,-8.76126847156432,-3.63625495694863,-17.5225369431286,-8.76126847156432,-3.63625495694863,2002,2002,2002,2002,21.500267733726,10.7444214889786,29.9578982666168,62.8834069382438,1991,11,6.5
"A020031","Pacific madrone","Other","Small","A02","Ashland","AW15_012_01","A","density","0.1",NA,"NO","ARME",16,"0","CLEAN SNAG","5",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"6",565,761,197,1290,6.2992125984252,0.477373191029495,0.216421260089817,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.0497322111706197,0.0850555555555556,-17.5225369431286,-8.76126847156432,-3.63625495694863,-17.5225369431286,-8.76126847156432,-3.63625495694863,2002,2002,2002,2002,23.301718774331,11.7397091935363,34.0240513969923,69.2039665272371,1990,12,8
"A020032","Pacific madrone","Other","Small","A02","Ashland","AW15_013_01","A","density","0.1",NA,"NO","ARME",10,"0","OLDER DEAD","4",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"6",565,761,197,1290,3.93700787401575,0.225043282266502,0.0845395547225848,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007,19.273978968473,9.67027890567966,43.6856118402073,56.8034031467278,1997,10,5
"A020035","Pacific madrone","Other","Small","A02","Ashland","AW15_014_04","A","density","0.1",NA,"NO","ARME",15.1,"0","OLDER DEAD","4",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"6",565,761,197,1290,5.94488188976378,0.435140161987988,0.192758638722966,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007,22.8675643114775,11.527428915339,20.9295620737147,67.6284103330447,1995,12,7.55
"A020036","Pacific madrone","Other","Small","A02","Ashland","AW15_014_05","A","density","0.1",NA,"NO","ARME",14,"0","CLEAN SNAG","5",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"6",565,761,197,1290,5.51181102362205,0.385541302725637,0.165697527256266,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.0497322111706197,0.0850555555555556,-17.5225369431286,-8.76126847156432,-3.63625495694863,-17.5225369431286,-8.76126847156432,-3.63625495694863,2002,2002,2002,2002,22.1161258222304,11.2143460119382,33.3077073655534,65.6339779020435,1991,11,7
