"site_name","uid","rodne_site_ab","rodne_pid","plot_type","plot_size","rodne_sid","rodne_uid","trid","stid","multistem","rcdm","conifer","corvallis_core","spcd","spcd_mod","diam_cm","capo_num","cond","con_numeric","pith","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","sdi_acre","biostrat","x","y","end_year","ci_age_lower","predicted_age","ci_age_upper","pred_pith","ci_1911_diam_lower","predicted_1911_diam","ci_1911_diam_upper","diam_in_1911","diam_in_2011","ba_1911_ft2","ba_2011_ft2","include_1911","include_2011","metlen_age"
"Ashland","AW14_001_02","A","A01","density",0.1,"A0101","A010001",1,"1",1,100,"Hardwood","YES","ARME",6,25.4,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,68,75,1943,0,0,0,0,10,0,0.545415391,"NO","YES",NA
"Ashland","AW14_004_02","A","A01","density",0.1,"A0102","A010002",4,"1",1,45,"Hardwood","YES","ARME",6,23.8,2,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,68,75,1943,0,0,0,0,9.37007874015748,0,0.478865853552669,"NO","YES",NA
"Ashland","AW14_010_01","A","A01","density",0.1,"A0103","A010003",10,"1",0,NA,"Hardwood","YES","ARME",6,12.2,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,76,1962,0,0,0,0,4.80314960629921,0,0.125828673191828,"NO","YES",NA
"Ashland","AW14_034_01","A","A01","density",0.1,"A0104","A010004",34,"1",0,NA,"Conifer","YES","PSME",4,10.7,4,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,76,1962,0,0,0,0,4.21259842519685,0,0.0967893361578368,"NO","YES",NA
"Ashland","AW14_038_09","A","A01","density",0.1,"A0105","A010005",38,"8",1,NA,"Hardwood","YES","ARME",6,23.5,4,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,68,75,1943,0,0,0,0,9.25196850393701,0,0.466869690742994,"NO","YES",NA
"Ashland","AW14_001_03","A","A01","density",0.1,NA,"A010006",1,"2",1,NA,"Hardwood","NO","ARME",6,16.3,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,48,75,1963,0,0,0,0,6.41732283464567,0,0.22461314284021,"NO","YES",NA
"Ashland","AW14_001_04","A","A01","density",0.1,NA,"A010007",1,"3",1,NA,"Hardwood","NO","ARME",6,24,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,68,75,1943,0,0,0,0,9.44881889763779,0,0.48694783498047,"NO","YES",NA
"Ashland","AW14_001_05","A","A01","density",0.1,NA,"A010008",1,"4",1,NA,"Hardwood","NO","ARME",6,19.1,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,48,75,1963,0,0,0,0,7.51968503937008,0,0.308408749443099,"NO","YES",NA
"Ashland","AW14_001_06","A","A01","density",0.1,NA,"A010009",1,"5",1,NA,"Hardwood","NO","ARME",6,10.5,4,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,76,1962,0,0,0,0,4.13385826771654,0,0.0932048590392306,"NO","YES",NA
"Ashland","AW14_002_02","A","A01","density",0.1,NA,"A010010",2,"1",1,140,"Hardwood","NO","ARME",6,27.8,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,68,75,1943,0,0,0,0,10.9448818897638,0,0.653355494420671,"NO","YES",NA
"Ashland","AW14_002_03","A","A01","density",0.1,NA,"A010011",2,"2",1,NA,"Hardwood","NO","ARME",6,15.2,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,48,75,1963,0,0,0,0,5.98425196850394,0,0.195320187142166,"NO","YES",NA
"Ashland","AW14_002_04","A","A01","density",0.1,NA,"A010012",2,"3",1,NA,"Hardwood","NO","ARME",6,18,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,75,1962,0,0,0,0,7.08661417322835,0,0.273908157176514,"NO","YES",NA
"Ashland","AW14_002_05","A","A01","density",0.1,NA,"A010013",2,"4",1,NA,"Hardwood","NO","ARME",6,18.5,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,75,1962,0,0,0,0,7.28346456692913,0,0.289336625906364,"NO","YES",NA
"Ashland","AW14_002_06","A","A01","density",0.1,NA,"A010014",2,"5",1,NA,"Hardwood","NO","ARME",6,17.5,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,75,1962,0,0,0,0,6.88976377952756,0,0.258902386220085,"NO","YES",NA
"Ashland","AW14_002_07","A","A01","density",0.1,NA,"A010015",2,"6",1,NA,"Hardwood","NO","ARME",6,12.9,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,75.025,1962,0,0,0,0,5.07874015748031,0,0.140682272949826,"NO","YES",NA
"Ashland","AW14_002_08","A","A01","density",0.1,NA,"A010016",2,"7",1,NA,"Hardwood","NO","ARME",6,18.9,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,48,75,1963,0,0,0,0,7.44094488188976,0,0.301983743287107,"NO","YES",NA
"Ashland","AW14_003_02","A","A01","density",0.1,NA,"A010017",3,"1",1,110,"Hardwood","NO","ARME",6,21,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,48,75,1963,0,0,0,0,8.26771653543307,0,0.372819436156922,"NO","YES",NA
"Ashland","AW14_003_03","A","A01","density",0.1,NA,"A010018",3,"2",1,NA,"Hardwood","NO","ARME",6,10.2,0,"RECENT DEAD",3,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,76,1962,0,0,0,0,4.01574803149606,0,0.0879549526933474,"NO","YES",NA
"Ashland","AW14_003_04","A","A01","density",0.1,NA,"A010019",3,"3",1,NA,"Hardwood","NO","ARME",6,18.4,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,75,1962,0,0,0,0,7.24409448818898,0,0.286217116338521,"NO","YES",NA
"Ashland","AW14_003_05","A","A01","density",0.1,NA,"A010020",3,"4",1,NA,"Hardwood","NO","ARME",6,11.9,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,76,1962,0,0,0,0,4.68503937007874,0,0.119716463388167,"NO","YES",NA
"Ashland","AW14_003_06","A","A01","density",0.1,NA,"A010021",3,"5",1,NA,"Hardwood","NO","ARME",6,19.4,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,48,75,1963,0,0,0,0,7.63779527559055,0,0.318173068009114,"NO","YES",NA
"Ashland","AW14_003_07","A","A01","density",0.1,NA,"A010022",3,"6",1,NA,"Hardwood","NO","ARME",6,12.7,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,76,1962,0,0,0,0,5,0,0.13635384775,"NO","YES",NA
"Ashland","AW14_003_08","A","A01","density",0.1,NA,"A010023",3,"7",1,NA,"Hardwood","NO","ARME",6,20.4,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,48,75,1963,0,0,0,0,8.03149606299213,0,0.35181981077339,"NO","YES",NA
"Ashland","AW14_004_03","A","A01","density",0.1,NA,"A010024",4,"2",1,NA,"Hardwood","NO","ARME",6,19.4,2,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,48,75,1963,0,0,0,0,7.63779527559055,0,0.318173068009114,"NO","YES",NA
"Ashland","AW14_005_02","A","A01","density",0.1,NA,"A010025",5,"1",1,NA,"Hardwood","NO","QUKE",3,11.5,4,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,76,1962,0,0,0,0,4.52755905511811,0,0.111803561069735,"NO","YES",NA
"Ashland","AW14_005_03","A","A01","density",0.1,NA,"A010026",5,"2",1,NA,"Hardwood","NO","QUKE",3,12.3,4,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,76,1962,0,0,0,0,4.84251968503937,0,0.127899892281589,"NO","YES",NA
"Ashland","AW14_005_04","A","A01","density",0.1,NA,"A010027",5,"3",1,NA,"Hardwood","NO","QUKE",3,11.3,4,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,76,1962,0,0,0,0,4.4488188976378,0,0.107948557376139,"NO","YES",NA
"Ashland","AW14_005_05","A","A01","density",0.1,NA,"A010028",5,"4",1,NA,"Hardwood","NO","QUKE",3,10.5,4,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,76,1962,0,0,0,0,4.13385826771654,0,0.0932048590392306,"NO","YES",NA
"Ashland","AW14_006_02","A","A01","density",0.1,NA,"A010029",6,"1",1,115,"Hardwood","NO","ARME",6,21,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,48,75,1963,0,0,0,0,8.26771653543307,0,0.372819436156922,"NO","YES",NA
"Ashland","AW14_006_03","A","A01","density",0.1,NA,"A010030",6,"2",1,NA,"Hardwood","NO","ARME",6,20.7,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,48,75,1963,0,0,0,0,8.1496062992126,0,0.36224353786594,"NO","YES",NA
"Ashland","AW14_006_04","A","A01","density",0.1,NA,"A010031",6,"3",1,NA,"Hardwood","NO","ARME",6,13.3,3,"LIVE",1,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",299,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,2011,36,49,75.025,1962,0,0,0,0,5.23622047244095,0,0.149542018280721,"NO","YES",NA
