"rodne_pid","tpp_2011","site_name","plot_size","plot_type","tph_2011","tpp_1911","tph_1911","tpa_1911","tpa_2011"
"A01",122,"Ashland",0.1,"density",1220,7,70,28.32802,493.71692
"A02",92,"Ashland",0.1,"density",920,4,40,16.18744,372.31112
"A03",80,"Ashland",0.1,"density",800,6,60,24.28116,323.7488
"A04",35,"Ashland",0.1,"density",350,5,50,20.2343,141.6401
"A05",40,"Ashland",0.1,"density",400,8,80,32.37488,161.8744
"A06",32,"Ashland",0.1,"density",320,10,100,40.4686,129.49952
"A07",56,"Ashland",0.1,"density",560,4,40,16.18744,226.62416
"A08",57,"Ashland",0.1,"density",570,3,30,12.14058,230.67102
"A09",30,"Ashland",0.1,"density",300,9,90,36.42174,121.4058
"A10",48,"Ashland",0.1,"density",480,16,160,64.74976,194.24928
"A11",19,"Ashland",0.1,"density",190,12,120,48.56232,76.89034
"A12",55,"Ashland",0.1,"density",550,9,90,36.42174,222.5773
"A13",81,"Ashland",0.1,"density",810,10,100,40.4686,327.79566
"A14",31,"Ashland",0.1,"density",310,5,50,20.2343,125.45266
"A15",53,"Ashland",0.1,"density",530,5,50,20.2343,214.48358
"A16",28,"Ashland",0.1,"density",280,28,280,113.31208,113.31208
"A17",107,"Ashland",0.1,"density",1070,12,120,48.56232,433.01402
"A18",21,"Ashland",0.1,"density",210,0,0,0,84.98406
"A19",27,"Ashland",0.1,"density",270,109,1090,441.10774,109.26522
"A20",65,"Ashland",0.1,"density",650,6,60,24.28116,263.0459
"A21",105,"Ashland",0.1,"density",1050,12,120,48.56232,424.9203
"A22",77,"Ashland",0.1,"density",770,8,80,32.37488,311.60822
"A23",84,"Ashland",0.1,"density",840,9,90,36.42174,339.93624
"A24",58,"Ashland",0.1,"density",580,14,140,56.65604,234.71788
"A25",34,"Ashland",0.1,"density",340,7,70,28.32802,137.59324
"A26",25,"Ashland",0.1,"density",250,15,150,60.7029,101.1715
"A27",53,"Ashland",0.1,"density",530,7,70,28.32802,214.48358
"A28",93,"Ashland",0.1,"density",930,6,60,24.28116,376.35798
"A29",29,"Ashland",0.1,"density",290,13,130,52.60918,117.35894
"A30",66,"Ashland",0.1,"density",660,6,60,24.28116,267.09276
"A31",25,"Ashland",0.1,"density",250,3,30,12.14058,101.1715
"A32",51,"Ashland",0.1,"density",510,19,190,76.89034,206.38986
"A33",33,"Ashland",0.1,"density",330,59,590,238.76474,133.54638
"A34",43,"Ashland",0.1,"density",430,61,610,246.85846,174.01498
"A35",20,"Ashland",0.1,"density",200,9,90,36.42174,80.9372
"A36",21,"Ashland",0.1,"density",210,19,190,76.89034,84.98406
"A37",15,"Ashland",0.1,"density",150,12,120,48.56232,60.7029
"A38",167,"Ashland",0.1,"density",1670,1,10,4.04686,675.82562
"A39",38,"Ashland",0.1,"density",380,16,160,64.74976,153.78068
"A40",29,"Ashland",0.1,"density",290,25,250,101.1715,117.35894
"A41",36,"Ashland",0.1,"density",360,6,60,24.28116,145.68696
"A42",90,"Ashland",0.1,"density",900,7,70,28.32802,364.2174
"A43",29,"Ashland",0.1,"density",290,30,300,121.4058,117.35894
"A44",63,"Ashland",0.1,"density",630,6,60,24.28116,254.95218
"A45",48,"Ashland",0.1,"density",480,24,240,97.12464,194.24928
"A46",38,"Ashland",0.1,"density",380,8,80,32.37488,153.78068
"A47",22,"Ashland",0.1,"density",220,20,200,80.9372,89.03092
"A48",32,"Ashland",0.1,"density",320,36,360,145.68696,129.49952
"A49",48,"Ashland",0.1,"density",480,11,110,44.51546,194.24928
"A50",7,"Ashland",0.1,"density",70,12,120,48.56232,28.32802
"A51",59,"Ashland",0.1,"density",590,6,60,24.28116,238.76474
"A52",42,"Ashland",0.1,"density",420,20,200,80.9372,169.96812
"A53",38,"Ashland",0.1,"density",380,66,660,267.09276,153.78068
"A54",53,"Ashland",0.1,"density",530,11,110,44.51546,214.48358
"A55",49,"Ashland",0.1,"density",490,17,170,68.79662,198.29614
"A56",40,"Ashland",0.1,"density",400,30,300,121.4058,161.8744
"A57",22,"Ashland",0.1,"density",220,8,80,32.37488,89.03092
"A58",56,"Ashland",0.1,"density",560,43,430,174.01498,226.62416
"A59",17,"Ashland",0.1,"density",170,5,50,20.2343,68.79662
"AA",1505,"Ashland",3,"stem",501.666666666667,392,130.666666666667,52.8789706666667,203.017476666667
"AB",1338,"Ashland",3,"stem",446,124,41.3333333333333,16.7270213333333,180.489956
"AC",661,"Ashland",3,"stem",220.333333333333,316,105.333333333333,42.6269253333333,89.1658153333333
"AD",645,"Ashland",3,"stem",215,982,327.333333333333,132.467217333333,87.00749
"B01",47,"Big Butte",0.1,"density",470,8,80,32.37488,190.20242
"B02",58,"Big Butte",0.1,"density",580,20,200,80.9372,234.71788
"B03",79,"Big Butte",0.1,"density",790,8,80,32.37488,319.70194
"B04",39,"Big Butte",0.1,"density",390,29,290,117.35894,157.82754
"B05",26,"Big Butte",0.1,"density",260,13,130,52.60918,105.21836
"B06",97,"Big Butte",0.1,"density",970,5,50,20.2343,392.54542
"B07",60,"Big Butte",0.1,"density",600,29,290,117.35894,242.8116
"B08",34,"Big Butte",0.1,"density",340,17,170,68.79662,137.59324
"B09",59,"Big Butte",0.1,"density",590,51,510,206.38986,238.76474
"B10",38,"Big Butte",0.1,"density",380,31,310,125.45266,153.78068
"BA",887,"Big Butte",3,"stem",295.666666666667,375,125,50.58575,119.652160666667
"C01",35,"Trail Creek",0.1,"density",350,4,40,16.18744,141.6401
"C02",43,"Trail Creek",0.1,"density",430,10,100,40.4686,174.01498
"C03",20,"Trail Creek",0.1,"density",200,12,120,48.56232,80.9372
"C04",39,"Trail Creek",0.1,"density",390,17,170,68.79662,157.82754
"C05",58,"Trail Creek",0.1,"density",580,13,130,52.60918,234.71788
"C06",40,"Trail Creek",0.1,"density",400,22,220,89.03092,161.8744
"C07",49,"Trail Creek",0.1,"density",490,6,60,24.28116,198.29614
"C08",42,"Trail Creek",0.1,"density",420,4,40,16.18744,169.96812
"C09",27,"Trail Creek",0.1,"density",270,17,170,68.79662,109.26522
"C10",52,"Trail Creek",0.1,"density",520,31,310,125.45266,210.43672
"C11",55,"Trail Creek",0.1,"density",550,19,190,76.89034,222.5773
"CA",576,"Trail Creek",3,"stem",192,711,237,95.910582,77.699712
"E01",51,"Elder Creek",0.1,"density",510,13,130,52.60918,206.38986
"E02",39,"Elder Creek",0.1,"density",390,18,180,72.84348,157.82754
"E03",53,"Elder Creek",0.1,"density",530,19,190,76.89034,214.48358
"E04",43,"Elder Creek",0.1,"density",430,7,70,28.32802,174.01498
"E05",53,"Elder Creek",0.1,"density",530,30,300,121.4058,214.48358
"E06",73,"Elder Creek",0.1,"density",730,0,0,0,295.42078
"E07",121,"Elder Creek",0.1,"density",1210,31,310,125.45266,489.67006
"E08",138,"Elder Creek",0.1,"density",1380,7,70,28.32802,558.46668
"E09",48,"Elder Creek",0.1,"density",480,14,140,56.65604,194.24928
"E10",104,"Elder Creek",0.1,"density",1040,4,40,16.18744,420.87344
"G01",83,"Grayback Creek",0.1,"density",830,10,100,40.4686,335.88938
"G02",48,"Grayback Creek",0.1,"density",480,29,290,117.35894,194.24928
"G03",104,"Grayback Creek",0.1,"density",1040,8,80,32.37488,420.87344
"G04",76,"Grayback Creek",0.1,"density",760,42,420,169.96812,307.56136
"G05",56,"Grayback Creek",0.1,"density",560,17,170,68.79662,226.62416
"G06",75,"Grayback Creek",0.1,"density",750,15,150,60.7029,303.5145
"G07",85,"Grayback Creek",0.1,"density",850,24,240,97.12464,343.9831
