rodne_pid,sdi_acre_1911,sdi_acre_2011,max_sdi,rdi_1911,rdi_2011,rdi_1911_2011
A01,58,299,530,0.109433962,0.564150943,0.193979933
A02,14,319,365,0.038356164,0.873972603,0.043887147
A03,10,260,365,0.02739726,0.712328767,0.038461538
A04,28,217,365,0.076712329,0.594520548,0.129032258
A05,27,285,365,0.073972603,0.780821918,0.094736842
A06,120,263,530,0.226415094,0.496226415,0.456273764
A07,62,267,530,0.116981132,0.503773585,0.232209738
A08,101,274,365,0.276712329,0.750684932,0.368613139
A09,20,216,365,0.054794521,0.591780822,0.092592593
A10,149,354,365,0.408219178,0.969863014,0.420903955
A12,68,325,365,0.18630137,0.890410959,0.209230769
A13,80,445,365,0.219178082,1.219178082,0.179775281
A14,6,199,530,0.011320755,0.375471698,0.030150754
A15,31,192,530,0.058490566,0.362264151,0.161458333
A16,214,257,530,0.403773585,0.48490566,0.832684825
A17,64,361,365,0.175342466,0.989041096,0.177285319
A18,23,104,365,0.063013699,0.284931507,0.221153846
A19,52,193,530,0.098113208,0.364150943,0.269430052
A20,9,380,365,0.024657534,1.04109589,0.023684211
A21,13,428,530,0.024528302,0.80754717,0.030373832
A22,161,313,365,0.44109589,0.857534247,0.514376997
A23,44,371,365,0.120547945,1.016438356,0.118598383
A24,91,246,365,0.249315068,0.673972603,0.369918699
A25,113,236,365,0.309589041,0.646575342,0.478813559
A26,40,161,576,0.069444444,0.279513889,0.248447205
A27,18,318,365,0.049315068,0.871232877,0.056603774
A28,176,353,365,0.482191781,0.967123288,0.498583569
A29,104,225,530,0.196226415,0.424528302,0.462222222
A30,83,217,365,0.22739726,0.594520548,0.382488479
A31,49,400,365,0.134246575,1.095890411,0.1225
A32,77,369,530,0.145283019,0.696226415,0.208672087
A33,166,192,561,0.295900178,0.342245989,0.864583333
A34,66,380,365,0.180821918,1.04109589,0.173684211
A35,87,102,530,0.164150943,0.19245283,0.852941176
A36,200,252,530,0.377358491,0.475471698,0.793650794
A37,100,154,365,0.273972603,0.421917808,0.649350649
A38,157,438,530,0.296226415,0.826415094,0.358447489
A39,120,178,530,0.226415094,0.335849057,0.674157303
A40,141,238,530,0.266037736,0.449056604,0.592436975
A41,65,250,365,0.178082192,0.684931507,0.26
A42,49,306,530,0.09245283,0.577358491,0.160130719
A43,18,316,530,0.033962264,0.596226415,0.056962025
A44,153,326,365,0.419178082,0.893150685,0.469325153
A45,98,333,530,0.18490566,0.628301887,0.294294294
A46,106,293,561,0.188948307,0.52228164,0.361774744
A47,14,325,530,0.026415094,0.613207547,0.043076923
A48,59,322,530,0.111320755,0.60754717,0.183229814
A49,51,321,530,0.096226415,0.605660377,0.158878505
A50,42,86,530,0.079245283,0.162264151,0.488372093
A51,81,255,530,0.152830189,0.481132075,0.317647059
A52,146,180,530,0.275471698,0.339622642,0.811111111
A53,189,338,530,0.356603774,0.637735849,0.559171598
A54,13,348,530,0.024528302,0.656603774,0.037356322
A55,92,170,530,0.173584906,0.320754717,0.541176471
A56,83,376,530,0.156603774,0.709433962,0.220744681
A57,17,170,530,0.032075472,0.320754717,0.1
A58,360,292,530,0.679245283,0.550943396,1.232876712
A59,9,133,561,0.016042781,0.237076649,0.067669173
AA,196,267,365,0.536986301,0.731506849,0.734082397
AB,98,284,365,0.268493151,0.778082192,0.345070423
AC,94,233,365,0.257534247,0.638356164,0.403433476
AD,97,241,530,0.183018868,0.454716981,0.402489627
B01,13,254,530,0.024528302,0.479245283,0.051181102
B02,124,302,530,0.233962264,0.569811321,0.410596026
B03,103,336,365,0.282191781,0.920547945,0.306547619
B04,217,448,365,0.594520548,1.22739726,0.484375
B05,148,213,365,0.405479452,0.583561644,0.694835681
B06,53,325,365,0.145205479,0.890410959,0.163076923
B07,192,406,365,0.526027397,1.112328767,0.472906404
B08,125,272,530,0.235849057,0.513207547,0.459558824
B09,91,287,365,0.249315068,0.78630137,0.317073171
B10,170,299,365,0.465753425,0.819178082,0.568561873
BA,91,218,365,0.249315068,0.597260274,0.417431193
C01,15,104,365,0.04109589,0.284931507,0.144230769
C02,78,315,530,0.147169811,0.594339623,0.247619048
C03,58,190,365,0.15890411,0.520547945,0.305263158
C04,125,218,530,0.235849057,0.411320755,0.573394495
C05,77,348,365,0.210958904,0.953424658,0.221264368
C06,123,364,365,0.336986301,0.997260274,0.337912088
C07,61,219,365,0.167123288,0.6,0.278538813
C08,33,198,365,0.090410959,0.542465753,0.166666667
C09,206,459,530,0.388679245,0.866037736,0.448801743
C10,206,268,530,0.388679245,0.505660377,0.768656716
C11,114,296,530,0.21509434,0.558490566,0.385135135
CA,174,298,365,0.476712329,0.816438356,0.583892617
E01,156,151,264,0.590909091,0.571969697,1.033112583
E02,138,470,264,0.522727273,1.78030303,0.293617021
E03,56,484,264,0.212121212,1.833333333,0.115702479
E04,59,508,264,0.223484848,1.924242424,0.116141732
E05,129,466,264,0.488636364,1.765151515,0.276824034
E06,15,360,264,0.056818182,1.363636364,0.041666667
E07,219,512,264,0.829545455,1.939393939,0.427734375
E08,125,446,264,0.473484848,1.689393939,0.280269058
E09,50,416,264,0.189393939,1.575757576,0.120192308
E10,113,280,530,0.213207547,0.528301887,0.403571429
G01,51,338,561,0.090909091,0.602495544,0.150887574
G02,32,317,561,0.057040998,0.565062389,0.100946372
G03,61,336,561,0.108734403,0.598930481,0.181547619
G04,36,488,561,0.064171123,0.869875223,0.073770492
G05,150,463,561,0.267379679,0.825311943,0.323974082
G06,282,493,561,0.502673797,0.878787879,0.572008114
G07,122,314,561,0.217468806,0.559714795,0.388535032
G08,34,402,561,0.060606061,0.71657754,0.084577114
G09,274,238,561,0.488413547,0.424242424,1.151260504
G10,195,352,561,0.347593583,0.62745098,0.553977273
L01,11,311,365,0.030136986,0.852054795,0.035369775
L02,152,314,365,0.416438356,0.860273973,0.484076433
L03,3,174,365,0.008219178,0.476712329,0.017241379
L04,125,113,365,0.342465753,0.309589041,1.10619469
L05,14,282,365,0.038356164,0.77260274,0.04964539
L06,27,192,365,0.073972603,0.526027397,0.140625
L07,18,202,365,0.049315068,0.553424658,0.089108911
L08,29,158,365,0.079452055,0.432876712,0.183544304
L09,47,144,365,0.128767123,0.394520548,0.326388889
L10,85,154,365,0.232876712,0.421917808,0.551948052
M01,144,471,530,0.271698113,0.888679245,0.305732484
M02,219,446,365,0.6,1.221917808,0.49103139
M03,124,449,530,0.233962264,0.847169811,0.276169265
M04,123,368,365,0.336986301,1.008219178,0.33423913
M05,127,316,530,0.239622642,0.596226415,0.401898734
M06,204,414,365,0.55890411,1.134246575,0.492753623
M07,112,398,530,0.211320755,0.750943396,0.281407035
M08,48,388,365,0.131506849,1.063013699,0.12371134
M09,57,370,530,0.10754717,0.698113208,0.154054054
M10,63,441,365,0.17260274,1.208219178,0.142857143
MA,266,316,365,0.728767123,0.865753425,0.841772152
R01,124,623,561,0.221033868,1.110516934,0.199036918
R02,106,392,561,0.188948307,0.698752228,0.270408163
R03,200,247,561,0.356506239,0.440285205,0.809716599
R04,47,361,561,0.083778966,0.643493761,0.130193906
R05,24,343,561,0.042780749,0.6114082,0.069970845
R06,182,400,561,0.324420677,0.713012478,0.455
R07,215,344,561,0.383244207,0.613190731,0.625
R08,52,324,561,0.092691622,0.577540107,0.160493827
R09,228,493,561,0.406417112,0.878787879,0.462474645
R10,57,649,561,0.101604278,1.156862745,0.087827427
S01,121,117,530,0.228301887,0.220754717,1.034188034
S02,118,231,530,0.222641509,0.435849057,0.510822511
S03,49,273,530,0.09245283,0.51509434,0.179487179
S04,46,387,530,0.086792453,0.730188679,0.118863049
S05,137,167,530,0.258490566,0.31509434,0.820359281
S06,72,266,530,0.135849057,0.501886792,0.270676692
S07,69,135,530,0.130188679,0.254716981,0.511111111
S08,125,196,530,0.235849057,0.369811321,0.637755102
S09,29,221,530,0.054716981,0.416981132,0.131221719
S10,37,265,530,0.069811321,0.5,0.139622642
