"rodne_uid","rodne_pid","site_name","uid","trid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snag_spcd_group","snag_slope","snag_dbh","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","end_year"
"A020011","A02","Ashland","AW15_054_01",54,1,0,NA,"Conifer","A","density",0.1,"A0211","YES","CADE",34.3,1,"LIVE",1,1976,2010,1970,1.8,38,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",41,2011,7,565,761,197,1290,13.503937007874,1.61709913749421,0.994599407355738,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A020002","A02","Ashland","AW15_002_01",2,1,0,NA,"Conifer","A","density",0.1,"A0202","YES","PIPO",19.5,4,"LIVE",1,1965,2002,1965,0,30,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",46,2011,1,565,761,197,1290,7.67716535433071,0.655120865081644,0.321461656832629,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A020005","A02","Ashland","AW15_006_01",6,1,0,NA,"Conifer","A","density",0.1,"A0205","YES","PIPO",17.9,3,"LIVE",1,1970,2002,1968,1,35,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",43,2011,1,565,761,197,1290,7.04724409448819,0.571256168898805,0.270873187286634,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A020003","A02","Ashland","AW15_003_01",3,1,0,NA,"Conifer","A","density",0.1,"A0203","YES","PSME",11.1,4,"LIVE",1,1966,1998,1966,0,33,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",45,2011,4,565,761,197,1290,4.37007874015748,0.26593948259393,0.104161185373697,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A020004","A02","Ashland","AW15_004_01",4,1,0,NA,"Conifer","A","density",0.1,"A0204","YES","PIPO",37.3,2,"LIVE",1,1959,1996,1959,0,42,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",52,2011,1,565,761,197,1290,14.6850393700787,1.84926940375428,1.17619037089985,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A020001","A02","Ashland","AW15_001_01",1,1,0,NA,"Conifer","A","density",0.1,"A0201","YES","PSME",28.4,2,"LIVE",1,1981,2010,1980,0.2,31,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",31,2011,4,565,761,197,1290,11.1811023622047,1.19557106970021,0.68186223257048,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A020009","A02","Ashland","AW15_020_01",20,1,0,100,"Hardwood","A","density",0.1,"A0209","YES","ARME",41.9,3,"LIVE",1,1920,2010,1905,2.25,83,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",106,2011,6,565,761,197,1290,16.496062992126,2.22745269794249,1.48418487666517,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A020007","A02","Ashland","AW15_016_01",16,1,0,NA,"Conifer","A","density",0.1,"A0207","YES","ABCO",60.5,1,"LIVE",1,1913,2010,1912,0.2,99,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",99,2011,5,565,761,197,1290,23.8188976377953,4.00935630351737,3.09435905173341,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A030004","A03","Ashland","AW27_004_01",4,1,0,NA,"Conifer","A","density",0.1,"A0304","YES","CADE",11.5,4,"LIVE",1,1985,2006,1984,0.2,28,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1377170.5,"Bottom Slope",27,2011,7,517,645,128,998,4.52755905511811,0.281437910637844,0.111803561120618,328,260,149,"Douglas-fir - Dry,Warm,Bottom Slope",-122.72518208,42.16986597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A030003","A03","Ashland","AW27_003_01",3,1,0,NA,"Conifer","A","density",0.1,"A0303","YES","PSME",25.9,3,"LIVE",1,1979,2011,1976,0.9,34,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1377170.5,"Bottom Slope",35,2011,4,517,645,128,998,10.1968503937008,1.03168157850626,0.567099787034571,328,260,149,"Douglas-fir - Dry,Warm,Bottom Slope",-122.72518208,42.16986597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A030008","A03","Ashland","AW27_017_01",17,1,0,NA,"Conifer","A","density",0.1,"A0308","YES","PSME",10.3,4,"LIVE",1,1985,2011,1985,0,28,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1377170.5,"Bottom Slope",26,2011,4,517,645,128,998,4.05511811023622,0.23594219366381,0.0896880136051902,328,260,149,"Douglas-fir - Dry,Warm,Bottom Slope",-122.72518208,42.16986597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A030005","A03","Ashland","AW27_016_01",16,1,0,NA,"Conifer","A","density",0.1,"A0305","YES","CADE",14.7,3,"LIVE",1,1979,2011,1978,0.2,38,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1377170.5,"Bottom Slope",33,2011,7,517,645,128,998,5.78740157480315,0.416844224892489,0.182681523800033,328,260,149,"Douglas-fir - Dry,Warm,Bottom Slope",-122.72518208,42.16986597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A030006","A03","Ashland","AW27_015_01",15,1,0,NA,"Conifer","A","density",0.1,"A0306","YES","CADE",11.5,4,"LIVE",1,1989,2011,1984,1,25,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1377170.5,"Bottom Slope",27,2011,7,517,645,128,998,4.52755905511811,0.281437910637844,0.111803561120618,328,260,149,"Douglas-fir - Dry,Warm,Bottom Slope",-122.72518208,42.16986597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A030007","A03","Ashland","AW27_028_01",28,1,0,NA,"Conifer","A","density",0.1,"A0307","YES","CADE",10.4,4,"LIVE",1,1990,2011,1990,0,17,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1377170.5,"Bottom Slope",21,2011,7,517,645,128,998,4.09448818897638,0.239617976457642,0.0914379823879477,328,260,149,"Douglas-fir - Dry,Warm,Bottom Slope",-122.72518208,42.16986597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A040001","A04","Ashland","AW77_001_01",1,1,0,NA,"Conifer","A","density",0.1,"A0401","YES","PSME",33.2,3,"LIVE",1,1921,2012,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1321314.375,"Ridge Top",NA,2012,4,559,840,281,954,13.0708661417323,1.53492439082845,0.931828787974219,142,217,143,"Douglas-fir - Dry,Warm,Ridge Top",-122.70430005,42.16953493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A040002","A04","Ashland","AW77_002_01",2,1,0,NA,"Conifer","A","density",0.1,"A0402","YES","PIPO",20.9,3,"LIVE",1,1920,2012,1919,0.15,94,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1321314.375,"Ridge Top",93,2012,1,559,840,281,954,8.22834645669291,0.731981510597834,0.369277228983723,142,217,143,"Douglas-fir - Dry,Warm,Ridge Top",-122.70430005,42.16953493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A040003","A04","Ashland","AW77_030_01",30,1,0,NA,"Conifer","A","density",0.1,"A0403","YES","PIPO",38.5,2,"LIVE",1,1915,2012,1909,0.9,99,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1321314.375,"Ridge Top",103,2012,1,559,840,281,954,15.1574803149606,1.94537450799091,1.25308754987551,142,217,143,"Douglas-fir - Dry,Warm,Ridge Top",-122.70430005,42.16953493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
