"rodne_pid","trid","rodne_uid","site_name","uid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snag_spcd_group","snag_slope","snag_dbh","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","end_year","multi_add"
"A01","14","A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",32.7521151429182,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,"No"
"A01","2","A010013_new","Ashland","AW14_002_05_new","4_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",36.3230488515146,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1943,"No"
"A01","6","A010031_new","Ashland","AW14_006_04_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",37.6764449248657,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,5.23622047244095,0.355163787710378,0.14954201834878,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,"No"
"A02","15","A020038_new","Ashland","AW15_015_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",24.3796361897565,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,8.03149606299213,0.704164815654353,0.351819810933509,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"No"
"A02","35","A020067_new","Ashland","AW15_035_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",36.0921749930884,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,3.93700787401575,0.225043282266502,0.0845395547225848,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"No"
"A02","46","A020093_new","Ashland","AW15_046_03_new","2_new",1,55,"Hardwood","A","density",0.1,NA,"NO","ARME",15.5864284988686,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,4.05511811023622,0.23594219366381,0.0896880136051902,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1963,"No"
"A02","47","A020095_new","Ashland","AW15_047_02_new","1_new",1,150,"Hardwood","A","density",0.1,NA,"NO","ARME",35.5289677103979,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,9.52755905511811,0.92548767389328,0.495097448277345,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"No"
"A02","49","A020108_new","Ashland","AW15_049_07_new","6_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",40.2079473523629,0,"RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,4.68503937007874,0.297263229453207,0.119716463442652,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,NA,NA,NA,NA,NA,NA,NA,NA,2011,2011,1966,"No"
"A03","20","A030009_new","Ashland","AW27_020_02_new","1_new",1,40,"Hardwood","A","density",0.1,"A0309","YES","ARME",11.9656284884429,4,"LIVE",1,NA,NA,NA,NA,22,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1377170.5,"Bottom Slope",NA,2011,6,517,645,128,998,4.17322834645669,0.247033264668595,0.0949886436862962,328,260,149,"Douglas-fir - Dry,Warm,Bottom Slope",-122.72518208,42.16986597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"No"
"A03","54","A030067_new","Ashland","AW27_054_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",11.2402462130433,0,"BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1377170.5,"Bottom Slope",NA,2011,6,517,645,128,998,8.07086614173228,0.709695793509139,0.355277478721663,328,260,149,"Douglas-fir - Dry,Warm,Bottom Slope",-122.72518208,42.16986597,"Pacific madrone","Other","Medium",0.0497322111706197,0.0831666666666667,-46.0852578110958,-23.0426289055479,-9.56355507776901,-34.8753260570119,-17.4376630285059,-7.23728405661826,1988,1994,1988,1994,1960,"No"
"A05","43","A050052_new","Ashland","AW31_043_02_new","1_new",1,45,"Hardwood","A","density",0.1,NA,"NO","ARME",15.2654495538167,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PIPO-PSME","Ponderosa pine - Dry","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic","Warm",1433473.375,"Ridge Top",NA,2011,6,570,781,212,1248,6.22047244094488,0.467861590132522,0.211044544409461,154,285,206,"Ponderosa pine - Dry,Warm,Ridge Top",-122.73195903,42.16751545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1956,"No"
"A05","8","A050015_new","Ashland","AW31_008_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",10.9835621657599,0,"CUT STUMP",2,NA,NA,NA,NA,NA,2005,"PIPO-PSME","Ponderosa pine - Dry","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic","Warm",1433473.375,"Ridge Top",NA,2011,6,570,781,212,1248,2.99212598425197,0.145066723146496,0.048830046807765,154,285,206,"Ponderosa pine - Dry,Warm,Ridge Top",-122.73195903,42.16751545,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,NA,NA,NA,NA,NA,NA,NA,NA,2005,2005,1956,"No"
"A07","11","A070030_002_new","Ashland","AW69_011_02_002_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",21.7908748645965,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,6,534,738,204,923,0.984251968503937,0.024488944517889,0.00528372217016155,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2008,2008,2008,2008,1959,"No"
"A07","22","A070038_new","Ashland","AW69_022_01_new","1_new",1,40,"Hardwood","A","density",0.1,NA,"NO","ARME",20.6789318715663,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,6,534,738,204,923,2.20472440944882,0.0889952641864994,0.0265116043610026,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1959,"No"
"A07","7","A070025_new","Ashland","AW69_007_02_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",13.3079492363691,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,6,534,738,204,923,2.79527559055118,0.130100633523509,0.042616389535655,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1963,"No"
"A07","74","A070096_new","Ashland","AW69_074_02_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","QUKE",19.8217775316906,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,3,534,738,204,923,0.984251968503937,0.024488944517889,0.00528372217016155,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,"Misc hardwoods","Other","Small",0.0716364450414148,0.133833333333333,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2008,2008,2008,2008,1959,"No"
"A07","75","A070101_001_new","Ashland","AW69_075_05_001_new","5_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",31.860737972656,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,6,534,738,204,923,2.95275590551181,0.14202476352394,0.0475534995314539,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"No"
"A07","82","A070111_new","Ashland","AW69_082_01_new","1_new",1,48,"Hardwood","A","density",0.1,NA,"NO","ARME",19.9354961958759,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,6,534,738,204,923,5.86614173228346,0.425955355407758,0.18768626543961,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"No"
"A08","56","A080058_new","Ashland","AW71_056_01_new","1_new",1,150,"Hardwood","A","density",0.1,NA,"NO","ARME",22.9520353671955,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1166229.25,"Mid Slope",NA,2012,6,573,841,268,989,20.0787401574803,3.05055131688818,2.19887381833443,198,274,173,"Douglas-fir - Dry,Warm,Mid Slope",-122.70036883,42.16489417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1898,"No"
"A08","59","A080064_001_new","Ashland","AW71_059_02_001_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",23.6170244073712,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1166229.25,"Mid Slope",NA,2012,6,573,841,268,989,2.95275590551181,0.14202476352394,0.0475534995314539,198,274,173,"Douglas-fir - Dry,Warm,Mid Slope",-122.70036883,42.16489417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1904,"No"
"A09","31","A090033_new","Ashland","AW21_031_02_new","1_new",1,85,"Hardwood","A","density",0.1,NA,"NO","ACMA",20.3245047090546,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"ABCO-PSME/ROGY","White fir - Intermediate","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Cool",1007686.938,"Bottom Slope",NA,2011,6,571,821,250,946,5.51181102362205,0.385541302725637,0.165697527256266,101,216,152,"White fir - Intermediate,Cool,Bottom Slope",-122.71158292,42.16080867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1921,"No"
"A12","3","A120023_002_new","Ashland","AW73_003_03_002_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",22.7283760432986,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1284636.75,"Mid Slope",NA,2012,6,540,725,185,1032,2.95275590551181,0.14202476352394,0.0475534995314539,231,325,211,"Douglas-fir - Dry,Warm,Mid Slope",-122.70004468,42.15691476,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2008,2008,2008,2008,1940,"No"
"A12","66","A120093_new","Ashland","AW73_066_01_new","1_new",1,54,"Hardwood","A","density",0.1,NA,"NO","ARME",18.2347064892637,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1284636.75,"Mid Slope",NA,2012,6,540,725,185,1032,4.25196850393701,0.254532980033102,0.0986069366284229,231,325,211,"Douglas-fir - Dry,Warm,Mid Slope",-122.70004468,42.15691476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,"No"
"A12","69","A120107_new","Ashland","AW73_069_02_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",10.5049665768819,0,"RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1284636.75,"Mid Slope",NA,2012,6,540,725,185,1032,2.95275590551181,0.14202476352394,0.0475534995314539,231,325,211,"Douglas-fir - Dry,Warm,Mid Slope",-122.70004468,42.15691476,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,1875,"No"
