"site_name","rodne_pid","field_pvt","field_plant_assoc","sdi_1911","sdi_2011","max_sdi","rdi_1911","rdi_2011","rdi_diff","sdi_diff"
"Ashland","A01","Douglas-fir - Dry","PSME/HODI/WHMO-SWO",17.748466405947,298.826873775407,530,0.033487672464051,0.563824290142277,0.530336617678226,281.07840736946
"Ashland","A02","White fir - Intermediate","PSME-ABCO/SYMO",9.09008013039213,320.054043710109,530,0.0171510945856455,0.603875554170016,0.586724459584371,310.963963579716
"Ashland","A03","Douglas-fir - Dry","PSME-PIPO/RHDI6",5.49470353789837,261.289986859952,499,0.0110114299356681,0.523627228176256,0.512615798240588,255.795283322054
"Ashland","A04","Douglas-fir - Dry","PSME-PIPO/RHDI6",9.20569925975821,217.199586526479,499,0.0184482951097359,0.435269712477913,0.416821417368177,207.99388726672
"Ashland","A05","Ponderosa pine - Dry","PIPO-PSME",58.7453660266413,293.551883988446,499,0.117726184422127,0.58828032863416,0.470554144212033,234.806517961804
"Ashland","A06","Douglas-fir - Dry","PSME/DRY SHRUB",109.798784376652,263.483531734571,530,0.207167517691797,0.497138739121832,0.289971221430035,153.684747357919
"Ashland","A07","Douglas-fir - Dry","PSME/DRY SHRUB",31.8087937226819,270.066732763647,530,0.0600165919295885,0.509559873138956,0.449543281209368,238.257939040965
"Ashland","A08","Douglas-fir - Dry","PSME-PIPO/RHDI6",61.7654464297709,309.235365885841,499,0.12377844975906,0.619710152075834,0.495931702316774,247.46991945607
"Ashland","A09","White fir - Intermediate","ABCO-PSME/ROGY",16.3425003026236,228.492450540884,530,0.0308349062313653,0.431117831209215,0.40028292497785,212.14995023826
"Ashland","A10","Douglas-fir - Dry","PSME-PIPO/RHDI6",109.024565870617,375.434403814316,499,0.218486103949132,0.752373554738108,0.533887450788975,266.409837943699
"Ashland","A11","Douglas-fir - Dry","PSME-PIPO/RHDI6",0,190.822068172046,499,0,0.382408954252598,0.382408954252598,190.822068172046
"Ashland","A12","Douglas-fir - Dry","PSME-PIPO/RHDI6",17.1836711918441,323.510843010938,499,0.0344362148133147,0.648318322667211,0.613882107853896,306.327171819094
"Ashland","A13","Douglas-fir - Dry","PSME-PIPO/RHDI6",94.268326647639,457.195349888158,499,0.188914482259798,0.916223146068453,0.727308663808655,362.927023240519
"Ashland","A14","Douglas-fir - Dry","PSME/HODI/WHMO-SWO",7.93987270639956,202.580316662786,530,0.0149808918988671,0.382227012571294,0.367246120672427,194.640443956386
"Ashland","A15","Douglas-fir - Dry","PSME/HODI/WHMO-SWO",47.3766584014852,193.267965478772,530,0.0893899215122362,0.364656538639193,0.275266617126957,145.891307077287
"Ashland","A16","Douglas-fir - Dry","PSME/HODI/WHMO-SWO",198.903349398426,333.375216177137,530,0.375289338487597,0.629009841843655,0.253720503356059,134.471866778711
"Ashland","A17","Douglas-fir - Dry","PSME-PIPO/RHDI6",37.7396138746467,361.046669237896,499,0.0756304887267468,0.723540419314422,0.647909930587675,323.30705536325
"Ashland","A18","Douglas-fir - Dry","PSME-PIPO/RHDI6",16.2485065239827,103.684747703862,499,0.0325621373226107,0.207785065538802,0.175222928216192,87.4362411798796
"Ashland","A19","Douglas-fir - Dry","PSME/HODI/WHMO-SWO",75.0448889223009,196.912087368528,530,0.141594130042077,0.371532240317977,0.2299381102759,121.867198446227
"Ashland","A20","Douglas-fir - Dry","PSME-PIPO/RHDI6",1.8297744830115,402.747704877631,499,0.00366688273148598,0.807109629013289,0.803442746281803,400.91793039462
"Ashland","A21","White fir - Intermediate","ABCO/BENE2",35.928951173556,470.584653566465,530,0.0677904739123699,0.887895572766916,0.820105098854546,434.655702392909
"Ashland","A22","White fir - Intermediate","PSME-ABCO/SYMO",133.710683228461,333.166566820439,530,0.252284307978229,0.62861616381215,0.376331855833921,199.455883591978
"Ashland","A23","Douglas-fir - Dry","PSME-PIPO/RHDI6",65.1907919215352,374.646692565845,499,0.130642869582235,0.750794975081855,0.62015210549962,309.45590064431
"Ashland","A24","White fir - Intermediate","PSME-ABCO/SYMO",57.0393540405033,282.836331607171,530,0.107621422717931,0.533653455862587,0.426032033144657,225.796977566668
"Ashland","A25","White fir - Intermediate","PSME-ABCO/SYMO",156.654505397242,236.22199027097,530,0.295574538485363,0.445701868435793,0.150127329950431,79.5674848737283
"Ashland","A26","Douglas-fir - Dry","PSME/BENE2/POMU",20.2735006720935,177.070578858489,576,0.0351970497779402,0.307414199407099,0.272217149629159,156.797078186396
